Year,Title,Instructor,Credits,Actual,Capacity
11SP,Concert Attendance,Waterstone Kathy A.,0,78,150
11SP,Introduction to Music,Southard Sarah,4,33,35
11SP,Perspectives in Music,Hornbach Christina M.,2,15,25
11SP,Perspectives in Music,Hornbach Christina M.,2,15,25
11SP,World Music,Randel Julia,4,38,35
11SP,World Music,Randel Julia,4,38,35
11SP,World Music,Straus Melissa M.,4,32,35
11SP,Survey of Jazz,Talaga Stephen C.,4,40,35
11SP,Survey of Jazz,Talaga Stephen C.,4,38,35
11SP,Theory II,Hodson Robert D.,4,17,15
11SP,Theory II,Hodson Robert D.,4,13,15
11SP,Aural Skills II,Sooy Julie A.,1,11,15
11SP,Aural Skills II,Sooy Julie A.,1,7,15
11SP,Aural Skills II,Wolfe Jennifer A.,1,12,15
11SP,Chapel Choir,Richmond Brad W.,1,17,70
11SP,Chapel Choir,Richmond Brad W.,0,28,70
11SP,College Chorus,Richmond Brad W.,1,16,100
11SP,College Chorus,Richmond Brad W.,0,15,100
11SP,Women's Chorus,Wolfe Jennifer A.,.5,4,30
11SP,Women's Chorus,Wolfe Jennifer A.,0,12,30
11SP,Orchestra,Piippo Richard G.,1,20,65
11SP,Orchestra,Piippo Richard G.,0,21,100
11SP,Orchestra,Piippo Richard G.,1,5,70
11SP,Orchestra,Piippo Richard G.,0,11,70
11SP,Wind Ensemble,Southard Robert G.,1,17,60
11SP,Wind Ensemble,Southard Robert G.,0,18,50
11SP,Concert Band,Southard Robert G.,1,4,30
11SP,Concert Band,Southard Robert G.,0,16,30
11SP,Jazz Arts Collective,Coyle Brian R.,1,5,12
11SP,Jazz Arts Collective,Coyle Brian R.,0,7,12
11SP,Collegium Musicum - Instrument,Staff,.5,0,10
11SP,Collegium Musicum - Instrument,Staff,0,0,10
11SP,Jazz Chamber Ensemble I,Coyle Brian R.,.5,4,4
11SP,Jazz Chamber Ensemble I,Coyle Brian R.,0,2,4
11SP,Jazz Chamber Ensemble II,Hodson Robert D.,.5,2,4
11SP,Jazz Chamber Ensemble II,Hodson Robert D.,0,2,4
11SP,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,3,4
11SP,Jazz Chamber Ensemble III,Talaga Stephen C.,0,1,4
11SP,Jazz Chamber Ensemble IV,Van Lente Michael J.,.5,1,4
11SP,Jazz Chamber Ensemble IV,Van Lente Michael J.,0,4,4
11SP,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,2,4
11SP,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,3,4
11SP,Jazz Education Ensemble,Coyle Brian R.,.5,2,10
11SP,Jazz Education Ensemble,Coyle Brian R.,0,5,10
11SP,Flute Choir,Sooy Julie A.,.5,5,12
11SP,Flute Choir,Sooy Julie A.,0,5,12
11SP,Percussion Ensemble,Staff,0,0,6
11SP,Percussion Ensemble,Staff,.5,0,6
11SP,Chamber Music,Piippo Richard G.,.5,0,6
11SP,Chamber Music,Piippo Richard G.,0,6,6
11SP,Chamber Music,Craioveanu Mihai D.,.5,1,6
11SP,Chamber Music,Craioveanu Mihai D.,0,4,6
11SP,Chamber Music,Le Andrew C.,.5,2,6
11SP,Chamber Music,Le Andrew C.,0,5,6
11SP,Brass Chamber Music,Puccini Dorival,.5,1,6
11SP,Brass Chamber Music,Puccini Dorival,0,4,6
11SP,12th Street Harmony,Richmond Brad W.,.5,3,10
11SP,12th Street Harmony,Richmond Brad W.,0,5,10
11SP,Luminescence,Richmond Brad W.,.5,1,10
11SP,Luminescence,Richmond Brad W.,0,3,10
11SP,Saxophone Quartet,Schekman Joel W.,.5,1,4
11SP,Saxophone Quartet,Schekman Joel W.,0,3,4
11SP,Piano Ensemble,Clark Adam L.,.5,0,4
11SP,Piano Ensemble,Clark Adam L.,0,4,4
11SP,Woodwind Quintet,Southard Robert G.,.5,0,5
11SP,Woodwind Quintet,Southard Robert G.,0,5,5
11SP,Flute,Sooy Julie A.,2,2,12
11SP,Flute,Sooy Julie A.,2,0,5
11SP,Flute,Sooy Julie A.,3,2,8
11SP,Oboe,Southard Sarah,2,0,12
11SP,Oboe,Southard Sarah,2,1,5
11SP,Oboe,Southard Sarah,3,2,4
11SP,Clarinet,Schekman Joel W.,2,2,12
11SP,Clarinet,Schekman Joel W.,3,1,4
11SP,Saxophone,Lockwood Thomas E.,2,3,12
11SP,Saxophone,Lockwood Thomas E.,2,0,5
11SP,Saxophone,Lockwood Thomas E.,3,0,8
11SP,Jazz Saxophone,Lockwood Thomas E.,2,6,12
11SP,Jazz Saxophone,Lockwood Thomas E.,3,0,12
11SP,Bassoon,Clapp John G.,2,1,12
11SP,Bassoon,Clapp John G.,3,1,4
11SP,Horn,Peterson Erich M.,2,2,12
11SP,Horn,Peterson Erich M.,3,1,4
11SP,Trumpet,Puccini Dorival,2,3,12
11SP,Trumpet,Puccini Dorival,2,1,10
11SP,Trumpet,Puccini Dorival,3,1,4
11SP,Jazz Trumpet,Coyle Brian R.,2,0,12
11SP,Jazz Trumpet,Coyle Brian R.,3,0,12
11SP,Trombone,Spencer Daniel T.,2,1,12
11SP,Trombone,Spencer Daniel T.,3,0,4
11SP,Jazz Trombone,Wesselink Paul J.,2,2,12
11SP,Jazz Trombone,Wesselink Paul J.,3,0,12
11SP,Baritone/Euphonium,Spencer Daniel T.,2,0,12
11SP,Baritone/Euphonium,Spencer Daniel T.,3,0,4
11SP,Tuba,Spencer Daniel T.,2,0,12
11SP,Tuba,Spencer Daniel T.,3,0,4
11SP,Percussion,Secor Gregory,2,4,12
11SP,Percussion,Secor Gregory,3,0,4
11SP,Jazz Percussion,Van Lente Michael J.,2,11,12
11SP,Jazz Percussion,Van Lente Michael J.,3,0,12
11SP,Harp,Waldvogel-Warren Martha,2,5,8
11SP,Harp,Waldvogel-Warren Martha,3,0,2
11SP,Violin,Craioveanu Mihai D.,2,7,12
11SP,Violin,Craioveanu Mihai D.,2,2,5
11SP,Violin,Craioveanu Mihai D.,3,12,10
11SP,Viola,Corbato Barbara,2,2,12
11SP,Viola,Corbato Barbara,2,0,5
11SP,Viola,Corbato Barbara,3,2,6
11SP,Cello,Piippo Richard G.,2,5,12
11SP,Cello,Piippo Richard G.,2,0,5
11SP,Cello,Piippo Richard G.,3,3,6
11SP,String Bass,Straus Melissa M.,2,2,12
11SP,String Bass,Straus Melissa M.,3,2,5
11SP,Jazz Bass,Hoats Charles D.,2,2,12
11SP,Jazz Bass,Hoats Charles D.,3,3,4
11SP,Organ,Crowell Gregory F.,2,3,12
11SP,Organ,Crowell Gregory F.,2,2,5
11SP,Organ,Crowell Gregory F.,3,3,6
11SP,Piano,Aschbrenner Charles,2,3,16
11SP,Piano,Aschbrenner Charles,3,1,6
11SP,Piano,Le Andrew C.,2,5,16
11SP,Piano,Le Andrew C.,2,1,5
11SP,Piano,Le Andrew C.,3,10,8
11SP,Piano,Clark Adam L.,2,10,12
11SP,Piano,Clark Adam L.,2,3,10
11SP,Piano,Clark Adam L.,3,2,12
11SP,Piano,Staff,2,0,8
11SP,Piano - Pending Audition,Le Andrew C.,  2/3,0,50
11SP,Jazz Piano,Talaga Stephen C.,2,12,12
11SP,Jazz Piano,Talaga Stephen C.,3,2,12
11SP,Guitar,Martin David J.,2,19,20
11SP,Guitar,Martin David J.,3,1,10
11SP,Guitar,Hyde Michael R.,2,25,20
11SP,Jazz Guitar,Hyde Michael R.,2,8,20
