"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2010 (201008)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Pending Audition - Piano","MUS","050","01","81059","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",08/31-12/10,16
"COMPLETED","Pending Audition - Voice","MUS","060","01","81060","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Dykstra, Linda L.",08/31-12/10,16
"COMPLETED","Concert Attendance","MUS","080","01","80783",0,""," "," "," ","R"," "," "," ","1100-1150","NYKERK 124",100,86,14,0,"Waterstone, Kathy A.",08/31-12/10,16
"CLOSED","Introduction to Music","MUS","101","01","80039",4,FA1,"M"," ","W"," ","F"," "," ","1200-1250","NYKERK 124",35,36,-1,0,"Southard, Robert G.",08/31-12/10,16
"CLOSED","Introduction to Music","MUS","101","02","81330",4,FA1," ","T"," ","R"," "," "," ","1200-1320","NYKERK 100",35,35,0,0,"Hornbach, Christina M.",08/31-12/10,16
"COMPLETED","Introduction to Music","MUS","101","03","81331",4,FA1," ","T"," ","R"," "," "," ","1630-1750","NYKERK 100",35,17,18,0,"Southard, Sarah",08/31-12/10,16
"CLOSED","World Music","MUS","104","01","80753",4,CD4,"M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100",35,37,-2,0,"Randel, Julia",08/31-12/10,16
"","","","","","",,"FA1","M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","01","80570",4,CD4," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124",35,46,-11,0,"Talaga, Stephen C.",08/31-12/10,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124","","","","","",""
"CLOSED","Theory I","MUS","111","01","81244",4,"","M"," ","W"," ","F"," "," ","0830-0920","NYKERK 100",15,15,0,0,"Veenstra, Kimberly A.",08/31-12/10,16
"COMPLETED","Theory I","MUS","111","02","80040",4,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 101",15,10,5,0,"West, Elizabeth O.",08/31-12/10,16
"COMPLETED","Theory I","MUS","111","03","80041",4,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 101",15,12,3,0,"West, Elizabeth O.",08/31-12/10,16
"COMPLETED","Aural Skills I","MUS","113","01","81241",1,"","M"," ","W"," ","F"," "," ","0930-1020","NYKERK 100",15,10,5,0,"Sooy, Julie A.",08/31-12/10,16
"COMPLETED","Aural Skills I","MUS","113","02","81004",1,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 102",15,14,1,0,"Sooy, Julie A.",08/31-12/10,16
"COMPLETED","Aural Skills I","MUS","113","03","80042",1,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 102",15,10,5,0,"Wolfe, Jennifer A.",08/31-12/10,16
"COMPLETED","Chapel Choir","MUS","115","01","80043",1,FA2,"M","T","W","R"," "," "," ","1630-1735","CHAPEL AUD",40,13,27,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","Chapel Choir","MUS","115","11","80796",0,"","M","T","W","R"," "," "," ","1630-1735","NYKERK 124",40,28,12,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","College Chorus","MUS","116","01","80044",1,FA2," ","T"," "," "," "," "," ","1930-2100","NYKERK 124",100,42,58,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","College Chorus","MUS","116","11","80797",0,""," ","T"," "," "," "," "," ","1930-2100","NYKERK 124",100,35,65,0,"Richmond, Brad W.",08/31-12/10,16
"COMPLETED","Women's Chamber Choir","MUS","117","01","80527",1,FA2," ","T"," ","R"," "," "," ","1200-1250","CHAPEL AUD",40,12,28,0,"Wolfe, Jennifer A.",08/31-12/10,16
"COMPLETED","Women's Chamber Choir","MUS","117","11","80798",0,""," ","T"," ","R"," "," "," ","1200-1250","CHAPEL AUD",40,11,29,0,"Wolfe, Jennifer A.",08/31-12/10,16
"COMPLETED","Orchestra","MUS","120","01","80045",1,FA2,"M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",70,15,55,0,"Piippo, Richard G.",08/31-12/10,16
"","","","","","",,"FA2"," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","02","80951",1,FA2," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",70,6,64,0,"Piippo, Richard G.",08/31-12/10,16
"COMPLETED","Orchestra","MUS","120","11","80792",0,"","M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",70,26,44,0,"Piippo, Richard G.",08/31-12/10,16
"","","","","","",,""," ","T"," ","R"," "," "," ","1700-1820","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","12","80952",0,""," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",70,17,53,0,"Piippo, Richard G.",08/31-12/10,16
"COMPLETED","Wind Ensemble","MUS","130","01","80046",1,FA2,"M"," ","W"," "," "," "," ","1700-1810","NYKERK 116",70,15,55,0,"Southard, Robert G.",08/31-12/10,16
"","","","","","",,"FA2"," "," "," "," ","F"," "," ","1300-1430","NYKERK 116","","","","","",""
"COMPLETED","Wind Ensemble","MUS","130","11","80799",0,""," "," "," "," ","F"," "," ","1300-1430","NYKERK 116",70,28,42,0,"Southard, Robert G.",08/31-12/10,16
"","","","","","",,"","M"," ","W"," "," "," "," ","1700-1810","NYKERK 116","","","","","",""
"COMPLETED","Concert Band","MUS","133","01","80571",1,FA2," "," "," ","R"," "," "," ","1900-2030","NYKERK 116",30,9,21,0,"Southard, Robert G.",08/31-12/10,16
"COMPLETED","Concert Band","MUS","133","11","80800",0,""," "," "," ","R"," "," "," ","1900-2030","NYKERK 116",30,21,9,0,"Southard, Robert G.",08/31-12/10,16
"COMPLETED","Jazz Arts Collective","MUS","135","01","80047",1,FA2," ","T"," ","R"," "," "," ","1200-1320","NYKERK 116",20,2,18,0,"Coyle, Brian R.",08/31-12/10,16
"COMPLETED","Jazz Arts Collective","MUS","135","11","80801",0,""," ","T"," ","R"," "," "," ","1200-1320","NYKERK 116",20,9,11,0,"Coyle, Brian R.",08/31-12/10,16
