"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2017"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2017 (201708)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Pending Placement - Winds/Perc","MUS","020","01","81760","  0/1","","TBA","","","","","","","","TBA",200,0,200,0,"Southard, Robert G.",08/29-12/15,16
,"Reserved for all students interested in being in a woodwind, brass, or percussion ensemble at Hope. Students must be available on Monday, August 28 for audition and placement in Mus 120 - 160. Auditions will not be held on other days."
"COMPLETED","Pending Placement - Strings","MUS","030","01","81764","  0/1","","TBA","","","","","","","","TBA",200,0,200,0,"Fashun, Christopher H.",08/29-12/15,16
,"Reserved for students interested in playing a string instrument in the Orchestra at Hope. Students must be available for audition and placement in Mus 120 on Monday, August 28."
"COMPLETED","Pending Audition - Piano","MUS","050","01","80518","  1-3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",08/29-12/15,16
,"Reserved for students who have never taken piano at Hope. Students must be available on Monday, August 28 for audition and placement in Mus 179. Auditions will not be held on other days. Course fee will be added upon placement."
"COMPLETED","Pending Audition - Voice","MUS","060","01","80519","  1-3","","TBA","","","","","","","","TBA",50,0,50,0,"Kim, JungWoo",08/29-12/15,16
,"Reserved for students who have never taken voice at Hope. Students must be available on Monday, August 28 for audition and placement in the appropriate voice course. Auditions will not be held on other days. Course fee will be added upon placement."
"COMPLETED","Concert Attendance","MUS","080","01","80420",0,""," "," "," ","R"," "," "," ","1100-1150","JHMILR 120",100,76,24,0,"Southard, Robert G.",08/29-12/15,16
"CANCELLED","Introduction to Music","MUS","101","01","80743",4,FA1,"TBA","","","","","","","","TBA",0,0,0,0,"Staff",08/29-12/15,16
"COMPLETED","Introduction to Music","MUS","101","02","80570",4,FA1," ","T"," ","R"," "," "," ","1200-1320","JHMILR 194",35,28,7,0,"Southard, Sarah",08/29-12/15,16
"CANCELLED","Introduction to Music","MUS","101","03","81029",4,FA1,"TBA","","","","","","","","TBA",0,0,0,0,"Staff",08/29-12/15,16
"COMPLETED","Introduction to Music","MUS","101","04","81031",4,FA1,"M"," ","W"," "," "," "," ","1300-1420","JHMILR 194",35,15,20,0,"Craioveanu, Mihai D.",08/29-12/15,16
"COMPLETED","Introduction to Music","MUS","101","05","81816",4,FA1,"M"," ","W"," "," "," "," ","1430-1550","JHMILR 194",35,19,16,0,"Payne, Alyson M.",08/29-12/15,16
"CLOSED","Perspectives in Music","MUS","102","01","81114",4,GLI," ","T"," ","R"," "," "," ","1330-1450","JHMILR 192",10,11,-1,0,"Hornbach, Christina M.",08/29-12/15,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1330-1450","JHMILR 192","","","","","",""
"COMPLETED","World Music","MUS","104","01","80405",4,FA1," ","T"," ","R"," "," "," ","1500-1620","JHMILR 194",35,26,9,0,"Sooy, Julie A.",08/29-12/15,16
"","","","","","",,"GLI"," ","T"," ","R"," "," "," ","1500-1620","JHMILR 194","","","","","",""
"COMPLETED","World Music","MUS","104","02","81472",4,GLI," ","T"," ","R"," "," "," ","1330-1450","JHMILR 130",35,34,1,0,"Fashun, Christopher H.",08/29-12/15,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1330-1450","JHMILR 130","","","","","",""
"CLOSED","Survey of American Music","MUS","105","01","80326",4,FA1," ","T"," ","R"," "," "," ","0800-0920","JHMILR 194",35,35,0,0,"Coyle, Brian R.",08/29-12/15,16
,"Topic: Blues to Pop."
"","","","","","",,"GLD"," ","T"," ","R"," "," "," ","0800-0920","JHMILR 194","","","","","",""
"CLOSED","Survey of American Music","MUS","105","02","80677",4,GLD," ","T"," ","R"," "," "," ","0930-1050","JHMILR 194",35,35,0,0,"Talaga, Stephen C.",08/29-12/15,16
,"Topic: Jazz."
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","0930-1050","JHMILR 194","","","","","",""
"COMPLETED","Theory I","MUS","111","01","80027",4,"","M"," ","W"," ","F"," "," ","1200-1250","JHMILR 192",20,15,5,0,"Hodson, Robert D.",08/29-12/15,16
"COMPLETED","Theory I","MUS","111","02","80028",4,"","M"," ","W"," ","F"," "," ","1400-1450","JHMILR 192",20,19,1,0,"Hodson, Robert D.",08/29-12/15,16
"COMPLETED","Aural Skills I","MUS","113","01","80493",1,"","M"," ","W"," ","F"," "," ","1100-1150","JHMILR 194",20,10,10,0,"Wolfe, Jennifer A.",08/29-12/15,16
"CLOSED","Aural Skills I","MUS","113","02","80029",1,"","M"," ","W"," ","F"," "," ","1200-1250","JHMILR 193",16,16,0,0,"Wolfe, Jennifer A.",08/29-12/15,16
"COMPLETED","Aural Skills I","MUS","113","03","81826",1,"","M"," ","W"," ","F"," "," ","1100-1150","JHMILR 140",20,9,11,0,"Sooy, Julie A.",08/29-12/15,16
"COMPLETED","Chapel Choir","MUS","115","01","80030",1,FA2,"M","T","W","R"," "," "," ","1700-1800","JHMILR 140",25,11,9,0,"Richmond, Brad W.",08/29-12/15,16
"CLOSED","Chapel Choir","MUS","115","11","80425",0,"","M","T","W","R"," "," "," ","1700-1800","JHMILR 140",25,30,-5,0,"Richmond, Brad W.",08/29-12/15,16
,"Reserved for students participating in Chapel Choir for pass-fail, zero credit."
"COMPLETED","College Chorus","MUS","116","01","80031",1,FA2," ","T"," "," "," "," "," ","1930-2100","JHMILR 140",50,19,31,0,"Richmond, Brad W.",08/29-12/15,16
"COMPLETED","College Chorus","MUS","116","11","80426",0,""," ","T"," "," "," "," "," ","1930-2100","JHMILR 140",50,15,35,0,"Richmond, Brad W.",08/29-12/15,16
,"Reserved for students participating in College Chorus for pass-fail, zero credit."
"COMPLETED","Women's Chamber Choir","MUS","117","01","80307",1,FA2," ","T"," ","R"," "," "," ","1500-1620","JHMILR 140",30,16,14,0,"Wolfe, Jennifer A.",08/29-12/15,16
"COMPLETED","Women's Chamber Choir","MUS","117","11","80427",0,""," ","T"," ","R"," "," "," ","1500-1620","JHMILR 140",30,11,19,0,"Wolfe, Jennifer A.",08/29-12/15,16
,"Reserved for students participating in Women's Chamber Choir for pass-fail, zero credit."
"CLOSED","Orchestra","MUS","120","01","80032",1,FA2," ","T"," ","R"," "," "," ","1630-1830","JHMILR 130",30,15,-6,0,"Fashun, Christopher H.",08/29-12/15,16
,"Written permission of instructor required. For placement, register for Mus 020 (winds and percussion) or Mus 030 (strings). Auditions will be held on Monday, August 28."
"CLOSED","Orchestra","MUS","120","011","80422",0,""," ","T"," ","R"," "," "," ","1630-1830","JHMILR 130",30,41,-11,0,"Fashun, Christopher H.",08/29-12/15,16
,"Written permission of instructor required. For placement, register for Mus 020 (winds and percussion) or Mus 030 (strings). Auditions will be held on Monday, August 28. Reserved for students participating in Orchestra for pass-fail, zero credit."
"PERMISSION","Wind Ensemble","MUS","130","01","80033",1,FA2," "," "," "," ","F"," "," ","1300-1430","JHMILR 130",30,17,11,0,"Southard, Robert G.",08/29-12/15,16
,"Written permission of instructor required. For placement, register for Mus 020 or 030. Auditions will be held on Monday, August 28."
"","","","","","",,"FA2","M"," ","W"," "," "," "," ","1700-1820","JHMILR 130","","","","","",""
