"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Spring 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"SPRING 2010 (201001)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Concert Attendance","MUS","080","01","10834",0,""," "," "," ","R"," "," "," ","1100-1150","NYKERK 124",150,79,71,0,"Waterstone, Kathy A.",01/12-05/07,16
"COMPLETED","Introduction to Music","MUS","101","01","10990",4,FA1,"M"," ","W"," ","F"," "," ","1200-1250","NYKERK 124",35,32,3,0,"Southard, Robert G.",01/12-05/07,16
"COMPLETED","Introduction to Music","MUS","101","02","10753",4,FA1,"M"," ","W"," ","F"," "," ","1400-1450","NYKERK 124",35,27,8,0,"Wolfe, Jennifer A.",01/12-05/07,16
"COMPLETED","Introduction to Music","MUS","101","03","11068",4,FA1," ","T"," ","R"," "," "," ","0930-1050","NYKERK 100",35,25,10,0,"Southard, Sarah",01/12-05/07,16
"COMPLETED","Perspectives in Music","MUS","102","01","10034",2,""," ","T"," ","R"," "," "," ","1400-1450","NYKERK 101",25,21,4,0,"Hornbach, Christina M.",01/12-05/07,16
"COMPLETED","Perspectives in Music","MUS","102","02","11463",2,""," ","T"," ","R"," "," "," ","0830-0920","NYKERK 100",25,11,14,0,"Hornbach, Christina M.",01/12-05/07,16
"COMPLETED","World Music","MUS","104","01","10831",4,CD4,"M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100",35,33,2,0,"Randel, Julia",01/12-05/07,16
"","","","","","",,"FA1","M"," ","W"," ","F"," "," ","1300-1350","NYKERK 100","","","","","",""
"COMPLETED","World Music","MUS","104","02","11464",4,CD4,"M"," ","W"," ","F"," "," ","1400-1450","NYKERK 100",35,34,1,0,"Randel, Julia",01/12-05/07,16
"","","","","","",,"FA1","M"," ","W"," ","F"," "," ","1400-1450","NYKERK 100","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","01","10991",4,CD4," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124",35,36,-1,0,"Talaga, Stephen C.",01/12-05/07,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1330-1450","NYKERK 124","","","","","",""
"CLOSED","Survey of Jazz","MUS","105","02","10849",4,CD4," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124",35,38,-3,0,"Talaga, Stephen C.",01/12-05/07,16
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1500-1620","NYKERK 124","","","","","",""
"COMPLETED","Theory II","MUS","112","01","10035",4,"","M"," ","W"," ","F"," "," ","1100-1150","NYKERK 101",15,11,4,0,"Hodson, Robert D.",01/12-05/07,16
"CLOSED","Theory II","MUS","112","02","10036",4,"","M"," ","W"," ","F"," "," ","1200-1250","NYKERK 101",15,16,-1,0,"Hodson, Robert D.",01/12-05/07,16
"COMPLETED","Theory II","MUS","112","03","11465",4,"","M"," ","W"," ","F"," "," ","0830-0920","NYKERK 101",15,13,2,0,"Hodson, Robert D.",01/12-05/07,16
"COMPLETED","Aural Skills II","MUS","114","01","10037",1,"","M"," ","W"," "," "," "," ","1100-1150","NYKERK 116",15,7,8,0,"Wolfe, Jennifer A.",01/12-05/07,16
"COMPLETED","Aural Skills II","MUS","114","02","10038",1,"","M"," ","W"," "," "," "," ","1100-1150","NYKERK 102",15,13,2,0,"Sooy, Julie A.",01/12-05/07,16
"COMPLETED","Aural Skills II","MUS","114","03","11069",1,"","M"," ","W"," "," "," "," ","1200-1250","NYKERK 116",15,12,3,0,"Wolfe, Jennifer A.",01/12-05/07,16
"COMPLETED","Chapel Choir","MUS","115","01","10039",1,FA2,"M","T","W","R"," "," "," ","1630-1735","NYKERK 124",70,18,52,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","Chapel Choir","MUS","115","011","10958",0,"","M","T","W","R"," "," "," ","1630-1735","NYKERK 124",70,20,50,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","College Chorus","MUS","116","01","10040",1,FA2," ","T"," "," "," "," "," ","1930-2050","NYKERK 124",100,32,68,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","College Chorus","MUS","116","011","10959",0,""," ","T"," "," "," "," "," ","1930-2050","NYKERK 124",100,16,84,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","Women's Chorus","MUS","117","01","10552",.5,FA2," ","T"," ","R"," "," "," ","1200-1250","CHAPEL AUD",30,7,23,0,"Wolfe, Jennifer A.",01/12-05/07,16
"COMPLETED","Women's Chorus","MUS","117","011","10960",0,""," ","T"," ","R"," "," "," ","1200-1250","CHAPEL AUD",30,16,14,0,"Wolfe, Jennifer A.",01/12-05/07,16
"COMPLETED","Orchestra","MUS","120","01","10041",1,FA2,"M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",65,15,50,0,"Piippo, Richard G.",01/12-05/07,16
"","","","","","",,"FA2"," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","011","10863",0,"","M"," ","W"," "," "," "," ","1500-1550","NYKERK 116",100,16,84,0,"Piippo, Richard G.",01/12-05/07,16
"","","","","","",,""," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116","","","","","",""
"COMPLETED","Orchestra","MUS","120","02","11070",1,FA2," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",70,6,64,0,"Piippo, Richard G.",01/12-05/07,16
"COMPLETED","Orchestra","MUS","120","021","11071",0,FA2," ","T"," ","R"," "," "," ","1700-1810","NYKERK 116",70,12,58,0,"Piippo, Richard G.",01/12-05/07,16
"COMPLETED","Wind Ensemble","MUS","130","01","10042",1,FA2,"M"," ","W"," "," "," "," ","1700-1810","NYKERK 116",60,14,46,0,"Southard, Robert G.",01/12-05/07,16
"","","","","","",,"FA2"," "," "," "," ","F"," "," ","1300-1430","NYKERK 116","","","","","",""
"COMPLETED","Wind Ensemble","MUS","130","011","10961",0,"","M"," ","W"," "," "," "," ","1700-1810","NYKERK 116",50,35,15,0,"Southard, Robert G.",01/12-05/07,16
"","","","","","",,""," "," "," "," ","F"," "," ","1300-1430","NYKERK 116","","","","","",""
"COMPLETED","Anchor Band","MUS","133","01","10043",1,FA2,"M"," "," "," "," "," "," ","1900-2000","NYKERK 116",30,4,26,0,"Southard, Robert G.",01/12-05/07,16
"COMPLETED","Anchor Band","MUS","133","011","10962",0,"","M"," "," "," "," "," "," ","1900-2000","NYKERK 116",30,11,19,0,"Southard, Robert G.",01/12-05/07,16
"COMPLETED","Jazz Ensemble","MUS","135","01","10044",1,FA2," ","T"," ","R"," "," "," ","1200-1320","NYKERK 116",12,4,8,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Jazz Ensemble","MUS","135","011","10963",0,""," ","T"," ","R"," "," "," ","1200-1320","NYKERK 116",12,6,6,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Opera Workshop","MUS","155","01A","11466",1,FA2,"M","T","W","R"," "," "," ","0830-0920","NYKERK 124",15,7,8,0,"Dykstra, Linda L.",01/12-03/03,8
"COMPLETED","Opera Workshop","MUS","155","11A","11467",0,FA2,"M","T","W","R"," "," "," ","0830-0920","NYKERK 124",15,13,2,0,"Dykstra, Linda L.",01/12-03/03,8
"COMPLETED","Jazz Chamber Ensemble I","MUS","160","01","10045",.5,FA2,"TBA","","","","","","","","TBA",4,3,1,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Jazz Chamber Ensemble I","MUS","160","011","10964",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Coyle, Brian R.",01/12-05/07,16
"COMPLETED","Jazz Chamber Ensemble II","MUS","160","02","10046",.5,FA2,"TBA","","","","","","","","TBA",4,1,3,0,"Hodson, Robert D.",01/12-05/07,16
"COMPLETED","Jazz Chamber Ensemble II","MUS","160","021","10965",0,"","TBA","","","","","","","","TBA",4,3,1,0,"Hodson, Robert D.",01/12-05/07,16
"COMPLETED","Jazz Chamber Ensemble III","MUS","160","03","10047",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Talaga, Stephen C.",01/12-05/07,16
"CLOSED","Jazz Chamber Ensemble III","MUS","160","031","10966",0,"","TBA","","","","","","","","TBA",4,4,0,0,"Talaga, Stephen C.",01/12-05/07,16
"COMPLETED","Jazz Chamber Ensemble IV","MUS","160","04","10050",.5,FA2,"TBA","","","","","","","","TBA",4,1,3,0,"Van Lente, Michael J.",01/12-05/07,16
"CLOSED","Jazz Chamber Ensemble IV","MUS","160","041","10967",0,"","TBA","","","","","","","","TBA",4,4,0,0,"Van Lente, Michael J.",01/12-05/07,16
"COMPLETED","Jazz Chamber Ensemble V","MUS","160","05","11180",.5,FA2,"TBA","","","","","","","","TBA",4,1,3,0,"Lockwood, Thomas E.",01/12-05/07,16
"COMPLETED","Jazz Chamber Ensemble V","MUS","160","051","11181",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Lockwood, Thomas E.",01/12-05/07,16
"COMPLETED","Flute Choir","MUS","160","06","10048",.5,FA2," "," "," ","R"," "," "," ","1945-2100","NYKERK 116",12,3,9,0,"Sooy, Julie A.",01/12-05/07,16
"COMPLETED","Flute Choir","MUS","160","061","10968",0,""," "," "," ","R"," "," "," ","1945-2100","NYKERK 116",12,10,2,0,"Sooy, Julie A.",01/12-05/07,16
"COMPLETED","Percussion Ensemble","MUS","160","07","10049",.5,FA2,"TBA","","","","","","","","TBA",6,1,5,0,"Secor, Gregory",01/12-05/07,16
"COMPLETED","Percussion Ensemble","MUS","160","071","10969",0,"","TBA","","","","","","","","TBA",6,0,6,0,"Secor, Gregory",01/12-05/07,16
"COMPLETED","Chamber Music","MUS","160","08","10051",.5,FA2,"TBA","","","","","","","","TBA",6,0,6,0,"Piippo, Richard G.",01/12-05/07,16
"COMPLETED","Chamber Music","MUS","160","081","10970",0,"","TBA","","","","","","","","TBA",6,2,4,0,"Piippo, Richard G.",01/12-05/07,16
"COMPLETED","Chamber Music","MUS","160","09","10663",.5,FA2,"TBA","","","","","","","","TBA",6,0,6,0,"Craioveanu, Mihai D.",01/12-05/07,16
"COMPLETED","Chamber Music","MUS","160","091","10971",0,"","TBA","","","","","","","","TBA",6,3,3,0,"Craioveanu, Mihai D.",01/12-05/07,16
"COMPLETED","Chamber Music","MUS","160","10","11182",.5,FA2,"TBA","","","","","","","","TBA",6,3,3,0,"Le, Andrew C.",01/12-05/07,16
"COMPLETED","Chamber Music","MUS","160","101","11183",0,"","TBA","","","","","","","","TBA",6,3,3,0,"Le, Andrew C.",01/12-05/07,16
"COMPLETED","Brass Chamber Music","MUS","160","11","10777",.5,FA2,"TBA","","","","","","","","TBA",6,1,5,0,"Southard, Robert G.",01/12-05/07,16
"COMPLETED","Brass Chamber Music","MUS","160","111","10974",0,"","TBA","","","","","","","","TBA",6,5,1,0,"Southard, Robert G.",01/12-05/07,16
"COMPLETED","12th Street Harmony","MUS","160","12","10633",.5,FA2,"TBA","","","","","","","","TBA",10,2,8,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","12th Street Harmony","MUS","160","121","10973",0,"","TBA","","","","","","","","TBA",10,5,5,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","Luminescence","MUS","160","13","11184",.5,FA2,"TBA","","","","","","","","TBA",10,1,9,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","Luminescence","MUS","160","131","11185",0,"","TBA","","","","","","","","TBA",10,7,3,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","Saxophone Quartet","MUS","160","14","11468",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Staff, TBA",01/12-05/07,16
"CLOSED","Saxophone Quartet","MUS","160","141","11469",0,FA2,"TBA","","","","","","","","TBA",4,4,0,0,"Schekman, Joel W.",01/12-05/07,16
"COMPLETED","Piano Ensemble","MUS","160","15","11470",.5,FA2,"TBA","","","","","","","","TBA",4,1,3,0,"Clark, Adam L.",01/12-05/07,16
"COMPLETED","Piano Ensemble","MUS","160","151","11471",0,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Clark, Adam L.",01/12-05/07,16
"COMPLETED","Woodwind Quintet","MUS","160","16","11472",.5,FA2," ","T"," ","R"," "," "," ","-","NYKERK ",5,0,5,0,"Southard, Robert G.",01/12-05/07,16
"CLOSED","Woodwind Quintet","MUS","160","161","11473",0,FA2," ","T"," ","R"," "," "," ","-","NYKERK ",5,5,0,0,"Southard, Robert G.",01/12-05/07,16
