"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Spring 2017"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"SPRING 2017 (201701)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Pending Audition - Piano","MUS","050","01","11842","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",01/09-05/05,14
,"Reserved for new piano students. Students must be available on Monday, January 9 for audition and placement in Mus 179. Auditions will not be held on other days. Course fee will be added upon placement."
"COMPLETED","Pending Audition - Voice","MUS","060","01","11843","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Dykstra, Linda L.",01/09-05/05,14
,"Reserved for new voice students. Students must be available on Monday, January 9 for audition and placement in the appropriate voice course. Auditions will not be held on other days. Course fee will be added upon placement."
"COMPLETED","Concert Attendance","MUS","080","01","11325",0,""," "," "," ","R"," "," "," ","1100-1150","JHMILR 120",150,53,97,0,"Southard, Robert G.",01/09-05/05,14
"COMPLETED","Introduction to Music","MUS","101","01","11575",4,FA1," ","T"," ","R"," "," "," ","1200-1320","JHMILR 194",35,33,2,0,"Lewis, Huw R.",01/09-05/05,14
"COMPLETED","Introduction to Music","MUS","101","02","11831",4,FA1," ","T"," ","R"," "," "," ","1330-1450","JHMILR 194",35,11,24,0,"Leach, James D.",01/09-05/05,14
"COMPLETED","Introduction to Music","MUS","101","03","11941",4,FA1,"M"," ","W"," "," "," "," ","1300-1420","JHMILR 194",35,8,27,0,"Craioveanu, Mihai D.",01/09-05/05,14
"COMPLETED","Introduction to Music","MUS","101","04","12016",4,FA1,"M"," ","W"," "," "," "," ","0800-0920","JHMILR 194",35,19,16,0,"Southard, Sarah",01/09-05/05,14
"COMPLETED","Perspectives in Music","MUS","102","01","12331",4,FA1," ","T"," ","R"," "," "," ","1330-1450","JHMILR 192",24,16,8,0,"Hornbach, Christina M.",01/09-05/05,14
"","","","","","",,"GLI"," ","T"," ","R"," "," "," ","1330-1450","JHMILR 192","","","","","",""
"COMPLETED","World Music","MUS","104","01","11942",4,FA1," ","T"," ","R"," "," "," ","1330-1450","JHMILR 130",35,34,1,0,"Fashun, Christopher H.",01/09-05/05,14
"","","","","","",,"GLI"," ","T"," ","R"," "," "," ","1330-1450","JHMILR 130","","","","","",""
"COMPLETED","World Music","MUS","104","02","12017",4,GLI," ","T"," ","R"," "," "," ","1500-1620","JHMILR 194",35,24,11,0,"Sooy, Julie A.",01/09-05/05,14
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","1500-1620","JHMILR 194","","","","","",""
"CLOSED","Survey of American Music","MUS","105","01","12332",4,FA1," ","T"," ","R"," "," "," ","0800-0920","JHMILR 194",35,35,0,0,"Coyle, Brian R.",01/09-05/05,14
"","","","","","",,"GLD"," ","T"," ","R"," "," "," ","0800-0920","JHMILR 194","","","","","",""
"CLOSED","Survey of American Music","MUS","105","02","11330",4,GLD," ","T"," ","R"," "," "," ","0930-1050","JHMILR 194",35,35,0,0,"Talaga, Stephen C.",01/09-05/05,14
"","","","","","",,"FA1"," ","T"," ","R"," "," "," ","0930-1050","JHMILR 194","","","","","",""
"COMPLETED","Theory II","MUS","112","01","11018",4,"","M"," ","W"," ","F"," "," ","1200-1250","JHMILR 192",15,14,1,0,"Rito, Justin B.",01/09-05/05,14
"COMPLETED","Theory II","MUS","112","02","11019",4,"","M"," ","W"," ","F"," "," ","1400-1450","JHMILR 192",15,13,2,0,"Rito, Justin B.",01/09-05/05,14
"CLOSED","Aural Skills II","MUS","114","01","11020",1,"","M"," ","W"," ","F"," "," ","1100-1150","JHMILR 194",15,16,-1,0,"Wolfe, Jennifer A.",01/09-05/05,14
"COMPLETED","Aural Skills II","MUS","114","02","11377",1,"","M"," ","W"," ","F"," "," ","1200-1250","JHMILR 194",15,6,9,0,"Wolfe, Jennifer A.",01/09-05/05,14
"COMPLETED","Chapel Choir","MUS","115","01","11021",1,FA2,"M","T","W","R"," "," "," ","1700-1805","JHMILR 140",70,12,58,0,"Richmond, Brad W.",01/09-05/05,14
"COMPLETED","Chapel Choir","MUS","115","011","11355",0,"","M","T","W","R"," "," "," ","1700-1805","JHMILR 140",70,24,46,0,"Richmond, Brad W.",01/09-05/05,14
,"Reserved for students participating in Chapel Choir for pass-fail, zero credit."
"COMPLETED","College Chorus","MUS","116","01","11022",1,FA2," ","T"," "," "," "," "," ","1900-2050","JHMILR 140",100,17,83,0,"Richmond, Brad W.",01/09-05/05,14
"COMPLETED","College Chorus","MUS","116","011","11356",0,""," ","T"," "," "," "," "," ","1900-2050","JHMILR 140",100,5,95,0,"Richmond, Brad W.",01/09-05/05,14
,"Reserved for students participating in College Chorus for pass-fail, zero credit."
"COMPLETED","Women's Chorus","MUS","117","01","11520",1,FA2," ","T"," ","R"," "," "," ","1500-1620","JHMILR 140",30,7,23,0,"Wolfe, Jennifer A.",01/09-05/05,14
"COMPLETED","Women's Chorus","MUS","117","011","11357",0,""," ","T"," ","R"," "," "," ","1500-1620","JHMILR 140",30,14,16,0,"Wolfe, Jennifer A.",01/09-05/05,14
,"Reserved for students participating in Women's Chorus for pass-fail, zero credit."
"COMPLETED","Orchestra","MUS","120","01","11023",1,FA2," ","T"," ","R"," "," "," ","1630-1820","JHMILR 130",65,20,45,0,"Fashun, Christopher H.",01/09-05/05,14
"COMPLETED","Orchestra","MUS","120","011","11335",0,""," ","T"," ","R"," "," "," ","1630-1820","JHMILR 130",100,30,70,0,"Fashun, Christopher H.",01/09-05/05,14
,"Reserved for students participating in Orchestra for pass-fail, zero credit."
"COMPLETED","Wind Ensemble","MUS","130","01","11024",1,FA2,"M"," ","W"," "," "," "," ","1700-1820","JHMILR 130",60,15,45,0,"Southard, Robert G.",01/09-05/05,14
"","","","","","",,"FA2"," "," "," "," ","F"," "," ","1300-1430","JHMILR 130","","","","","",""
"COMPLETED","Wind Ensemble","MUS","130","011","11358",0,"","M"," ","W"," "," "," "," ","1700-1820","JHMILR 130",50,25,25,0,"Southard, Robert G.",01/09-05/05,14
,"Reserved for students participating in Wind Ensemble for pass-fail, zero credit."
"","","","","","",,""," "," "," "," ","F"," "," ","1300-1430","JHMILR 130","","","","","",""
"COMPLETED","Concert Band","MUS","133","01","11025",1,FA2," "," "," ","R"," "," "," ","1900-2030","JHMILR 130",30,11,19,0,"Southard, Robert G.",01/09-05/05,14
"COMPLETED","Concert Band","MUS","133","011","11359",0,""," "," "," ","R"," "," "," ","1900-2030","JHMILR 130",30,16,14,0,"Southard, Robert G.",01/09-05/05,14
,"Reserved for students participating in Concert Band for pass-fail, zero credit."
"COMPLETED","Jazz Arts Collective","MUS","135","01","11026",1,FA2," ","T"," ","R"," "," "," ","1200-1320","JHMILR 130",10,3,7,0,"Coyle, Brian R.",01/09-05/05,14
"COMPLETED","Jazz Arts Collective","MUS","135","011","11360",0,""," ","T"," ","R"," "," "," ","1200-1320","JHMILR 130",10,8,2,0,"Coyle, Brian R.",01/09-05/05,14
,"Reserved for students participating in Jazz Ensemble for pass-fail, zero credit."
"CANCELLED","Opera Workshop","MUS","155","01","12056",1,FA2,"TBA","","","","","","","","TBA",0,0,0,0,"Staff",01/09-05/05,14
"CANCELLED","Opera Workshop","MUS","155","011","12057",0,"","TBA","","","","","","","","TBA",0,0,0,0,"Staff",01/09-05/05,14
,"Reserved for students participating in Opera Workshop for pass-fail, zero credit."
"COMPLETED","Jazz Chamber Ensemble I","MUS","160","01","11027",.5,FA2,"TBA","","","","","","","","TBA",4,1,2,0,"Coyle, Brian R.",01/09-05/05,14
"CLOSED","Jazz Chamber Ensemble I","MUS","160","011","11361",0,"","TBA","","","","","","","","TBA",4,5,-1,0,"Coyle, Brian R.",01/09-05/05,14
,"Reserved for students participating in Jazz Chamber Ensemble I for pass-fail, zero credit."
"COMPLETED","Jazz Chamber Ensemble II","MUS","160","02","11028",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Roberts, Nathaniel J.",01/09-05/05,14
"COMPLETED","Jazz Chamber Ensemble II","MUS","160","021","11362",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Roberts, Nathaniel J.",01/09-05/05,14
,"Reserved for students participating in Jazz Chamber Ensemble II for pass-fail, zero credit."
"COMPLETED","Jazz Chamber Ensemble III","MUS","160","03","11029",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Talaga, Stephen C.",01/09-05/05,14
"COMPLETED","Jazz Chamber Ensemble III","MUS","160","031","11363",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Talaga, Stephen C.",01/09-05/05,14
,"Reserved for students participating in Jazz Chamber Ensemble III for pass-fail, zero credit."
"COMPLETED","Jazz Chamber Ensemble IV","MUS","160","04","11031",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Shoup, Jeffrey A.",01/09-05/05,14
"COMPLETED","Jazz Chamber Ensemble IV","MUS","160","041","11364",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Shoup, Jeffrey A.",01/09-05/05,14
,"Reserved for students participating in Jazz Chamber Ensemble IV for pass-fail, zero credit."
"COMPLETED","Jazz Chamber Ensemble V","MUS","160","05","11402",.5,FA2,"TBA","","","","","","","","TBA",4,2,2,0,"Lockwood, Thomas E.",01/09-05/05,14
"COMPLETED","Jazz Chamber Ensemble V","MUS","160","051","11403",0,"","TBA","","","","","","","","TBA",4,2,2,0,"Lockwood, Thomas E.",01/09-05/05,14
,"Reserved for students participating in Jazz Chamber Ensemble V for pass-fail, zero credit."
"COMPLETED","Chamber Music","MUS","160","06","12384",.5,FA2,"TBA","","","","","","","","TBA",4,0,4,0,"Coyle, Brian R.",01/09-05/05,14
"COMPLETED","Chamber Music","MUS","160","061","12385",0,"","TBA","","","","","","","","TBA",10,2,8,0,"Coyle, Brian R.",01/09-05/05,14
,"Reserved for students participating in Chamber Music for pass-fail, zero credit."
